"w1","293.15","298.15","303.15","308.15","313.15"
"0","0.00000380","0.00000481","0.00000710","0.00000911","0.00001141"
"0.1","0.00000853","0.00001145","0.00001486","0.00001982","0.00002457"
"0.2","0.00001481","0.00001997","0.00002652","0.00003239","0.00004243"
"0.3","0.00003561","0.00004593","0.00005985","0.00007882","0.00009594"
"0.4","0.00004821","0.00006089","0.00007973","0.00010161","0.00013045"
"0.5","0.00006597","0.00008082","0.00010933","0.00013639","0.00017385"
"0.6","0.00008467","0.00010502","0.00013638","0.00017824","0.00021675"
"0.7","0.00009584","0.00011921","0.00015635","0.00018707","0.00023753"
"0.8","0.00010144","0.00012333","0.00015868","0.00019157","0.00024079"
"0.9","0.00007985","0.00009459","0.00012349","0.00015084","0.00018081"
"1","0.00003876","0.00004710","0.00005871","0.00007214","0.00009132"
